0	0
63	2318
22	2312
117	2296
364	2335
711	2368
1103	2394
1491	2400
1817	2432
2055	2437
2135	2458
2075	2463
1861	2447
1531	2441
1150	2420
750	2396
393	2363
135	2308
19	2302
56	2287
240	2320
535	2349
909	2383
1309	2394
1673	2412
1963	2427
2103	2451
2125	2454
1984	2461
1699	2435
1337	2432
932	2396
560	2380
251	2345
55	2335
19	2297
133	2304
389	2350
728	2363
1125	2397
1510	2415
1840	2424
2061	2445
2127	2450
2064	2447
1850	2455
1509	2450
1122	2407
723	2391
378	2351
127	2318
22	2318
57	2295
256	2300
562	2340
941	2360
1328	2402
1699	2420
1975	2416
2117	2442
2115	2452
1964	2464
1684	2450
1311	2446
907	2407
525	2373
223	2352
51	2307
22	2319
137	2301
405	2315
754	2358
1155	2387
1538	2416
1845	2425
2078	2454
2143	2455
2061	2454
1823	2445
1488	2458
1097	2400
703	2403
355	2344
111	2316
9	2308
64	2301
271	2296
581	2351
963	2368
1356	2407
1722	2417
1987	2433
2127	2450
2105	2455
1948	2448
1665	2447
1286	2420
880	2415
508	2383
209	2345
