0	0
2139	2332
2099	2349
2045	2381
1931	2382
1791	2388
1626	2408
1439	2428
1251	2421
1049	2433
841	2445
648	2457
476	2446
312	2461
190	2454
89	2455
32	2417
12	2433
30	2427
88	2407
192	2432
314	2407
472	2387
647	2379
838	2341
1046	2327
1243	2328
1433	2304
1623	2306
1783	2289
1914	2288
2023	2302
2103	2297
2144	2327
2131	2327
2079	2336
2013	2366
1889	2383
1742	2387
1583	2439
1385	2411
1184	2432
981	2439
780	2444
591	2459
419	2458
261	2451
151	2458
64	2445
17	2443
25	2443
49	2439
116	2432
224	2411
360	2391
528	2391
709	2374
903	2330
1103	2324
1303	2315
1504	2309
1672	2297
1822	2303
1959	2303
2062	2265
2113	2312
2140	2326
2120	2335
2071	2358
1968	2381
1841	2381
1703	2403
1508	2416
1313	2423
1117	2427
919	2448
723	2440
536	2452
367	2461
229	2462
107	2448
48	2446
23	2441
22	2439
65	2472
149	2415
270	2400
419	2403
584	2380
771	2348
964	2295
1166	2316
1370	2306
1548	2258
1715	2299
1881	2283
2003	2302
2082	2305
2127	2285
2145	2327
